id_produksi,tanggal_produksi,id_barang,jumlah_produksi,bahan_baku,id_karyawan
1,1/1/2024,101,500,Plastik,10
2,1/2/2024,102,300,Kain,11
3,1/3/2024,103,200,Logam,12
4,1/4/2024,101,600,Plastik,13
5,1/5/2024,104,400,Kayu,14
6,1/6/2024,105,800,Karet,15
7,1/7/2024,101,700,Plastik,16
8,1/8/2024,102,500,Kain,17
9,1/9/2024,103,300,Logam,18
10,1/10/2024,104,600,Kayu,19
11,1/11/2024,105,1000,Karet,20
12,1/12/2024,101,750,Plastik,21
13,1/13/2024,102,350,Kain,22
14,1/14/2024,103,150,Logam,23
15,1/15/2024,104,450,Kayu,24
16,1/16/2024,105,850,Karet,25
17,1/17/2024,101,550,Plastik,26
18,1/18/2024,102,600,Kain,27
19,1/19/2024,103,700,Logam,28
20,1/20/2024,104,800,Kayu,29
